source_repository	source_tag	source_commit	entry_type	relative_path	git_mode	git_object_id	git_bytes	git_sha256	materialized_bytes	materialized_sha256	verification_status
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/integration-detection.test.ts	100644	eb39ff421819bbaf0941db8d67323d5e9adb1a63	4917	7c2e18d5606ff8dc62262cdb2f06a9a68ed61be89ac7dac6ad9092445be3827f	4917	7c2e18d5606ff8dc62262cdb2f06a9a68ed61be89ac7dac6ad9092445be3827f	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/integration-detection.ts	100644	1c7cabd99ab72a69c9b2f766de0f2896f897ee36	13632	2e4865128cdade32196f285b6c905873299bf83e409f3167dbded0cfcfd87239	13632	2e4865128cdade32196f285b6c905873299bf83e409f3167dbded0cfcfd87239	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/kanban-backend.test.ts	100644	efe39945451a4eb1b49f3c16ca93ad59b8e13e51	8715	41a6089f7cfd2cf70c8164f6cd98a33a9d9d58c056eadbf8da2ed7a9bb03bcf4	8715	41a6089f7cfd2cf70c8164f6cd98a33a9d9d58c056eadbf8da2ed7a9bb03bcf4	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/kanban-backend.ts	100644	a23d292faad35940a7e6e62bf479e9769150386e	17186	02259d86455d3334314f793227f854f9e3c4636b23837c836ad06c37136564e4	17186	02259d86455d3334314f793227f854f9e3c4636b23837c836ad06c37136564e4	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/kanban-dashboard-proxy.ts	100644	d908656015246addf8ceb2adfa7824b576db011a	5991	3aa2c969243f408bd5dd3894d56d97007adf6a7b760575ef6ae9e7404e428a9a	5991	3aa2c969243f408bd5dd3894d56d97007adf6a7b760575ef6ae9e7404e428a9a	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/knowledge-browser.ts	100644	970f4397fed5ef887ad78c8c88bc5c85fe70921f	16261	b5a290ad12a45b88220fdf8b19f486ed8ed3f75e85afea614d0c413680f0424d	16261	b5a290ad12a45b88220fdf8b19f486ed8ed3f75e85afea614d0c413680f0424d	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/knowledge-config.ts	100644	d4f0bb9d23e6a979fa516f84aeb566e82f98fafb	1866	73ceaee033b7d6dd6c7a1a85c4d5370a3ab68c754722b859b10c8cf21df0651c	1866	73ceaee033b7d6dd6c7a1a85c4d5370a3ab68c754722b859b10c8cf21df0651c	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/local-provider-discovery.ts	100644	66530f40c7269264bf291fc1f6617c581028880d	8792	e660bb91a3494a23bf20e883aabfdd6aaac0c1d9339202b3228f8f935e414707	8792	e660bb91a3494a23bf20e883aabfdd6aaac0c1d9339202b3228f8f935e414707	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/local-session-store.ts	100644	4f8fdaf1de3c52460c97728ae910d35c00a448bb	3425	bf56dc4762dc1880eb790fd8c48413483fbc84fe382f8280fec332d9bde2a0fb	3425	bf56dc4762dc1880eb790fd8c48413483fbc84fe382f8280fec332d9bde2a0fb	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-cli-bridge.ts	100644	400a3003965d794103424c1536be605b413514cb	5985	772f3d157a7e0a1d55ad24c03b10f44a1964a04025e886c302a97704034d01da	5985	772f3d157a7e0a1d55ad24c03b10f44a1964a04025e886c302a97704034d01da	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub-sources-store.test.ts	100644	40c0e450aa5e7e9957f83a310d0998e980b35508	13259	33b235a46cdbc2ac4e65400dc8c84dce3a0fe28d313283f39431c82b79be85eb	13259	33b235a46cdbc2ac4e65400dc8c84dce3a0fe28d313283f39431c82b79be85eb	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub-sources-store.ts	100644	a2668bbc333851defa215e8074a39e034427ce61	20256	491cef78d670f00d39abecb931e3c3c4a39b2ddadbc5237933445afaad946653	20256	491cef78d670f00d39abecb931e3c3c4a39b2ddadbc5237933445afaad946653	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub/-cache.test.ts	100644	2920bed74a00212ae719d163c3ca4b2df937b0b5	4997	8d5f558feadfa2b650ca09ccde5cb2689298358a62f6edc947aa4b078eed765f	4997	8d5f558feadfa2b650ca09ccde5cb2689298358a62f6edc947aa4b078eed765f	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub/-trust.test.ts	100644	b2bfa0719d60116bbebd6d196e31bbc0fa4dc4ec	10273	941be265b79c220e1e3d24e3b2a02d088b16d5f42edab02bcc49c450f6aeb12f	10273	941be265b79c220e1e3d24e3b2a02d088b16d5f42edab02bcc49c450f6aeb12f	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub/-unified-search-user-sources.test.ts	100644	f69ea9287ab3ff760c9270c84e0aab92cf354eed	6307	5cad6fb35ae975d4608e1c0307949431b2b503d3a82249d8412425981302f880	6307	5cad6fb35ae975d4608e1c0307949431b2b503d3a82249d8412425981302f880	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub/-unified-search.test.ts	100644	8f65687303f482baa05ed625087d36205b912c6c	8194	0a43de1ad95bd27063a52dc8a9c17d8cbb7a7c4faf498d017d58ffbe5cffd339	8194	0a43de1ad95bd27063a52dc8a9c17d8cbb7a7c4faf498d017d58ffbe5cffd339	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/server/mcp-hub/cache.ts	100644	0e8d100f933240d0fca3ff62ce0a7eec8d809b5f	6226	308d087b515033d5edccd042ed2e7464963a011a9bf108f364cb2ef49e614d52	6226	308d087b515033d5edccd042ed2e7464963a011a9bf108f364cb2ef49e614d52	exact_match
